antecedent,consequent,confidence,lift,support
[5896178],[5896174],0.27044025157232704,73.59838274932615,0.001327775204570017
[5896178],[5896177],0.3333333333333333,87.05645161290322,0.0016365601358653697
[5896178],[5896180],0.20754716981132076,115.8864671437866,0.0010189902732746642
[5896178],[5896175],0.24528301886792453,98.06778476589797,0.0012042612320518759
[5896178],[5896179],0.22012578616352202,57.030188679245285,0.0010807472595337347
[5896178],[5896176],0.2893081761006289,79.40038375439718,0.0014204106839586228
[5749199],[5759492],0.3798449612403101,37.850089445438286,0.0015130461633472286
[5749199],[5766980],0.35658914728682173,80.75622052366239,0.0014204106839586228
[5584840 5584836],[5584838],0.8653846153846154,314.89304235090754,0.0013895321908290875
[5584840 5584836],[5584844],0.75,231.32142857142858,0.0012042612320518759
[5905704],[5792800],0.25112107623318386,13.973464009985669,0.0017291956152539756
[4768],[4600],0.3969465648854962,79.35255866553577,0.0016056816427358345
[4768],[4607],0.31297709923664124,62.95505191787967,0.0012660182183109464
[4768],[4841],0.366412213740458,92.70515267175573,0.0014821676702176934
[5854812],[5816166],0.18652849740932642,21.65134547885676,0.00111162575266327
[5854812],[5809911],0.21761658031088082,17.022978148231584,0.0012968967114404817
[5854812],[5809912],0.26424870466321243,9.182075429740488,0.0015748031496062992
[5854812],[5816170],0.20725388601036268,13.697789996827746,0.0012351397251814111
[5854812],[5809910],0.43523316062176165,7.068719110699975,0.0025937934228809634
[5584840 5584838 5584844],[5584836],0.9473684210526315,281.4727184934814,0.00111162575266327
[5819114],[5833334],0.41379310344827586,66.01324953286904,0.00111162575266327
[5809911 5809912 5809910],[5816170],0.43478260869565216,28.735581188997337,0.0018527095877721167
[5809911 5809912 5809910],[5816172],0.2608695652173913,30.72094861660079,0.00111162575266327
[5804660 5804663],[5804665],0.5964912280701754,217.04908338261382,0.0010498687664041995
[5804660 5804663],[5804667],0.5964912280701754,229.968671679198,0.0010498687664041995
[5804660 5804663],[5804662],0.631578947368421,272.7157894736842,0.00111162575266327
[5759279],[5304],0.23645320197044334,11.964901477832512,0.0014821676702176934
[5759279],[5808501],0.22660098522167488,56.88738687134838,0.0014204106839586228
[5896180],[5896178],0.5689655172413793,115.8864671437866,0.0010189902732746642
[4600],[4768],0.32098765432098764,79.35255866553577,0.0016056816427358345
[4600],[4841],0.30864197530864196,78.08883101851852,0.001543924656476764
[4600],[4607],0.3148148148148148,63.32470669427192,0.0015748031496062992
[5815731],[5815730],0.23404255319148937,44.0666749134092,0.0010189902732746642
[5829353],[5829345],0.4854368932038835,140.36494452149793,0.001543924656476764
[5829353],[5829347],0.4077669902912621,155.35922330097088,0.0012968967114404817
[3762],[4185],0.782608695652174,234.67391304347828,0.001667438628994905
[5584840 5584838],[5584844],0.7450980392156863,229.80952380952382,0.0011733827389223406
[5584840 5584838],[5584836],0.8823529411764706,262.1559633027523,0.0013895321908290875
[5762161],[5686925],0.1935483870967742,6.312250268005068,0.00111162575266327
[4958],[5304],0.1839080459770115,9.306034482758621,0.0014821676702176934
[4958],[5854897],0.16091954022988506,4.921038064537137,0.0012968967114404817
[5854827],[5809912],0.3546099290780142,12.32193406994795,0.001543924656476764
[5854827],[5809910],0.40425531914893614,6.565601058494632,0.0017600741083835109
[5829345],[5829353],0.44642857142857145,140.36494452149793,0.001543924656476764
[5829345],[5829347],0.36607142857142855,139.47321428571428,0.0012660182183109464
[5789670],[5789668],0.46938775510204084,47.65242147015546,0.0014204106839586228
[5836517],[5836488],0.18857142857142858,54.52576530612245,0.0010189902732746642
[5836517],[5836522],0.22285714285714286,40.546227929374,0.0012042612320518759
[5836517],[5854899],0.2,55.358974358974365,0.0010807472595337347
[5584840],[5584838],0.68,247.4359550561798,0.0015748031496062992
[5584840],[5584844],0.5866666666666667,180.94476190476192,0.0013586536976995522
[5584840],[5584836],0.6933333333333334,205.99633027522935,0.0016056816427358345
[4607],[4768],0.2546583850931677,62.95505191787966,0.0012660182183109464
[4607],[4841],0.2546583850931677,64.43056094720497,0.0012660182183109464
[4607],[4600],0.3167701863354037,63.32470669427191,0.0015748031496062992
[5584840 5584844],[5584838],0.8636363636363636,314.25689479060264,0.0011733827389223406
[5584840 5584844],[5584836],0.8863636363636364,263.3475813177648,0.0012042612320518759
[5813492],[5528035],0.31092436974789917,25.752648885641214,0.0011425042457928053
[5804660 5804667],[5804663],0.8095238095238095,174.7761904761905,0.0010498687664041995
[5584840 5584838 5584836],[5584844],0.8,246.74285714285716,0.00111162575266327
[5528051],[5528035],0.16,13.252173913043478,0.00111162575266327
[5861104],[5861102],0.717391304347826,438.3531583264971,0.0010189902732746642
[5693501],[5854897],0.1643835616438356,5.026970390779619,0.00111162575266327
[5816178],[5816166],0.19,22.054301075268818,0.0011733827389223406
[5816178],[5809911],0.3,23.467391304347824,0.0018527095877721167
[5816178],[5816172],0.265,31.207363636363638,0.0016365601358653697
[5816178],[5809912],0.465,16.157752145922746,0.002871699861046781
[5816178],[5816170],0.345,22.801683673469388,0.002130616025937934
[5816178],[5809910],0.44,7.146138415245737,0.0027173073953991045
[5809911 5809912],[5816166],0.19170984455958548,22.252771742158338,0.0011425042457928053
[5809911 5809912],[5809910],0.7150259067357513,11.612895681864245,0.004261232051875868
[5809911 5809912],[5816170],0.38860103626943004,25.683356244052025,0.002315886984715146
[5809911 5809912],[5816172],0.23834196891191708,28.068016957136127,0.0014204106839586228
[5809911 5809912],[5816178],0.21243523316062177,34.39857512953368,0.0012660182183109464
[5809911 5809912],[5816169],0.17098445595854922,36.671070239851765,0.0010189902732746642
[5561064],[5561044],0.4010989010989011,36.08218864468865,0.0022541299984560753
[5700047],[5686925],0.21052631578947367,6.865956431865161,0.0012351397251814111
[5700047],[5700035],0.21052631578947367,26.222672064777328,0.0012351397251814111
[5700047],[5700037],0.24736842105263157,10.026315789473683,0.001451289177088158
[5700047],[5700046],0.2578947368421053,22.45140067911715,0.0015130461633472286
[5676783],[5677025],0.8048780487804879,377.7677624602333,0.0010189902732746642
[5766980],[5749199],0.32167832167832167,80.75622052366238,0.0014204106839586228
[5766980],[5759492],0.4125874125874126,41.11274878967187,0.0018218310946425814
[5809303],[5862943],0.2558139534883721,25.1046511627907,0.0010189902732746642
[5793704],[5686925],0.10632183908045977,3.4675052956905232,0.0011425042457928053
[5793704],[5854897],0.15229885057471265,4.657411025365504,0.0016365601358653697
[4841],[4768],0.375,92.70515267175573,0.0014821676702176934
[4841],[4600],0.390625,78.08883101851852,0.001543924656476764
[4841],[4607],0.3203125,64.43056094720497,0.0012660182183109464
[5528035],[5528034],0.21227621483375958,39.2832298136646,0.002562914929751428
[4938],[5013],0.15517241379310345,13.018804716812578,0.00111162575266327
[4938],[5686925],0.14224137931034483,4.638959787477862,0.0010189902732746642
[4938],[5848387],0.16810344827586207,22.68345905172414,0.0012042612320518759
[5816170 5809912 5809910],[5816166],0.3360655737704918,39.00890181561784,0.0012660182183109464
[5816170 5809912 5809910],[5809911],0.4918032786885246,38.47113328581611,0.0018527095877721167
[5816170 5809912 5809910],[5816172],0.30327868852459017,35.715201192250376,0.0011425042457928053
[5816170 5809912 5809910],[5816178],0.2786885245901639,45.126639344262294,0.0010498687664041995
[5809912 5809910],[5816166],0.12582781456953643,14.605497400840276,0.0017600741083835109
[5809912 5809910],[5809911],0.304635761589404,23.830022075055187,0.004261232051875868
[5809912 5809910],[5816172],0.16997792494481237,20.017218543046358,0.0023776439709742164
[5809912 5809910],[5816178],0.13245033112582782,21.44701986754967,0.0018527095877721167
[5809912 5809910],[5816170],0.2693156732891832,17.799567509122856,0.003767176161803304
[5700038],[5700037],0.24817518248175183,10.05901537505824,0.0010498687664041995
[5816169 5809910],[5809911],0.4931506849315068,38.576533650982725,0.00111162575266327
[5816169 5809910],[5816170],0.4931506849315068,32.59323455409561,0.00111162575266327
[5816169 5809910],[5809912],0.5068493150684932,17.611926039155744,0.0011425042457928053
[5875321 5875320],[5875319],0.631578947368421,166.29011553273426,0.00111162575266327
[5816166 5816170 5809910],[5809911],0.515625,40.33457880434783,0.0010189902732746642
[5816166 5816170 5809910],[5809912],0.640625,22.260344018240342,0.0012660182183109464
[5816178 5816172],[5809912],0.660377358490566,22.946696088752123,0.0010807472595337347
[5836488],[5836489],0.5357142857142857,166.8183379120879,0.0018527095877721167
[5836488],[5836517],0.29464285714285715,54.52576530612245,0.0010189902732746642
[5840113],[5840114],0.5875,200.27565789473687,0.001451289177088158
