items,freq
['5697541'],61
['5817161'],27
['5809806'],18
['5901659'],20
['5692463'],20
['5793262'],22
['5891173'],83
['5865598'],24
['5869136'],136
['5869136' '5869134'],23
['5869136' '5868795'],21
['5865796'],18
['5878148'],58
['5861102'],53
['5723488'],75
['5723488' '5723496'],17
['5767495'],191
['5767495' '5759492'],27
['5767495' '4958'],18
['5767495' '5759491'],29
['5767495' '5304'],20
['5755171'],154
['5755171' '5686925'],27
['5839058'],38
['5875514'],46
['5839663'],36
['5859489'],45
['5862566'],43
['5862566' '5862564'],17
['5528035'],391
['5528035' '5686925'],27
['5528035' '5751422'],20
['5528035' '5854897'],18
['5528035' '5809910'],30
['5772447'],17
['5841296'],19
['5839053'],18
['5567936'],21
['5788435'],90
['5788435' '5788438'],26
['5816171'],86
['5816171' '5816166'],26
['5816171' '5809911'],19
['5816171' '5816172'],29
['5816171' '5816172' '5809910'],18
['5816171' '5816178'],19
['5816171' '5809912'],30
['5816171' '5809912' '5809910'],18
['5816171' '5816170'],27
['5816171' '5816170' '5809910'],19
['5816171' '5809910'],40
['5899846'],40
['5836522'],178
['5815578'],47
['5893841'],45
['5819894'],62
['5819894' '5823667'],47
['5565046'],44
['5745320'],60
['5745320' '5745314'],24
['5745320' '5745314' '5745313'],23
['5745320' '5745313'],31
['5903991'],56
['5771968'],20
['5814050'],81
['5814050' '5809910'],17
['5798929'],226
['5798929' '5854897'],20
['5846456'],32
['5839652'],39
['38747'],31
['5834159'],38
['5906118'],99
['5906118' '5859329'],18
['5869067'],48
['5902639'],37
['5886194'],17
['5853698'],27
['5795703'],44
['5677936'],58
['5635100'],18
['5911765'],25
['5839637'],24
['5858956'],28
['5723505'],34
['5687135'],28
['5859419'],33
['5649271'],65
['5862284'],22
['5775528'],32
['5730206'],105
['5730206' '5792800'],29
['5592510'],38
['5920553'],20
['5764990'],22
['5603931'],26
['5911758'],22
['5670729'],25
['5890148'],18
['5819273'],25
['5807826'],29
['5894917'],28
['5774871'],17
['5812033'],18
['5854570'],20
['5861327'],20
['5899927'],23
['5587774'],22
['5893840'],29
['5769938'],34
['5774883'],33
['5835171'],21
['5889485'],32
['5739491'],39
['4977'],38
['5809856'],20
['5905556'],23
['5662696'],17
['5738963'],17
['5904928'],23
['5839217'],26
['5847854'],29
['5813496'],28
['5875777'],19
['5901859'],70
['5714119'],18
['5901858'],121
['5809877'],20
['5816167'],23
['5812039'],26
['5733062'],17
['5879015'],19
['5688129'],21
['5814730'],28
['5810672'],67
['5810672' '5759491'],22
['5732030'],111
['5732030' '5809910'],17
['5587764'],95
['5584838'],89
['5584838' '5304'],19
['5584838' '5584844'],57
['5584838' '5584844' '5584836'],49
['5584838' '5584836'],64
['5744018'],17
['5727535'],40
['5819232'],25
['5875392'],50
['5726164'],46
['4820'],64
['4820' '4768'],21
['4820' '4600'],21
['4820' '4841'],29
['4820' '4607'],20
['5809734'],61
['5889474'],103
['5889474' '5686925'],22
['5855120'],29
['5820762'],20
['41964'],35
['5862571'],22
['5813485'],41
['5712789'],22
['5751742'],313
['5751742' '5792800'],45
['5751742' '5809910'],33
['5560756'],33
['5760773'],39
['5815568'],48
['5815568' '5815567'],38
['5815568' '5815571'],36
['5815568' '5815571' '5815567'],32
['5815568' '5815569'],36
['5815568' '5815569' '5815567'],31
['5815568' '5815569' '5815571'],30
['5815568' '5815569' '5815571' '5815567'],27
['5694628'],47
['5567952'],26
['5656124'],45
['5811664'],18
['5841294'],18
['5649235'],59
['5649179'],25
['5750376'],17
['5560990'],41
['5541652'],51
['36407'],28
['36407' '36406'],19
['5691026'],72
['5814051'],47
['5584854'],19
['5723225'],131
['5723225' '5854897'],18
['5723225' '5687151'],18
['5899926'],63
['5899926' '5899845'],19
['5859211'],21
['5820756'],108
['5820756' '5815662'],18
['5808322'],101
['5808322' '5854897'],18
['5889184'],35
['5814871'],22
['5677366'],42
['5563798'],33
['5904693'],25
['5756368'],53
['5756368' '5756367'],19
['5809730'],39
['5837084'],17
['5839660'],75
['5759388'],48
['5764750'],66
['5774337'],30
['5848908'],30
['5814820'],20
['5852638'],36
['5726400'],29
['5788522'],43
['5859210'],34
['5820777'],147
['5820777' '5815662'],17
['5700048'],40
['5865724'],24
['5809302'],49
['5809302' '5809295'],19
['5696181'],23
['5649305'],27
['5809270'],17
['5818360'],27
['5672888'],18
['4879'],26
['5772290'],29
['5787849'],34
['5839677'],19
['5899829'],21
['5809892'],21
['5839692'],17
['5603937'],23
['5746052'],26
['5550102'],17
['5839024'],19
['5886517'],19
['5886755'],21
['5780031'],68
['5875321'],118
['5875321' '5875319'],43
['5875321' '5875319' '5875320'],36
['5875321' '5875320'],57
['5830901'],23
['5761411'],217
['5761411' '5700037'],17
['5761411' '5854897'],20
['5761411' '5809910'],22
['5788710'],21
['41963'],24
['5858961'],24
['5899161'],17
['5861347'],26
['5857683'],19
['5603947'],21
['5813864'],29
['5875350'],34
['5677043'],167
['5626878'],125
['5626878' '5686925'],27
['59975'],18
['82253'],23
['5800787'],20
['5830544'],26
['5815663'],55
['5815663' '5815662'],26
['5760785'],52
['5896175'],81
['5896175' '5896178'],39
['5896175' '5896177'],21
['5896175' '5896177' '5896178'],17
['5896175' '5896176'],28
['5896175' '5896176' '5896178'],22
['5896175' '5896174'],27
['5896175' '5896174' '5896178'],19
['5896175' '5896179'],26
['5659900'],73
['8200'],71
['5827009'],142
['5635086'],21
['5773374'],37
['5635073'],23
['5861721'],44
['5704386'],43
['5896418'],42
['5753054'],18
['5795702'],54
['5843553'],17
['5804660'],77
['5804660' '5804667'],42
['5804660' '5804667' '5804663'],34
['5804660' '5804667' '5804665'],26
['5804660' '5804667' '5804665' '5804663'],19
['5804660' '5804663'],57
['5804660' '5804665'],44
['5804660' '5804665' '5804663'],34
['5900609'],28
['5683350'],49
['5850338'],19
['5733775'],68
['5733775' '5733776'],20
['5857309'],19
['5861154'],21
['5677604'],114
['5903958'],30
['5867030'],36
['5859196'],36
['59976'],43
['5820775'],40
['5569506'],17
['5866165'],50
['5811424'],24
['5786838'],19
['5812220'],27
['5809860'],27
['5778118'],31
['5893833'],31
['5859417'],30
['5732017'],35
['5664641'],88
['5664641' '5686925'],18
['40099'],53
['5869139'],79
['5861277'],19
['5795994'],28
['5687126'],19
['5809541'],32
['5830540'],21
['5687149'],38
['5809567'],24
['5834649'],37
['5854903'],46
['5857278'],36
['5815657'],44
['5877393'],22
['5788437'],43
['5788437' '5788438'],29
['5788437' '5788436'],18
['5586026'],18
['5769936'],25
['5811795'],17
['5732028'],28
['5649272'],52
['59998'],17
['5563540'],19
['5412'],31
['5817692'],31
['5715617'],20
['5679954'],24
['27764'],27
['27764' '27762'],17
['5744098'],18
['5854320'],22
['5773325'],24
['5816178'],200
['5816178' '5816166'],38
['5816178' '5816166' '5809911'],26
['5816178' '5816166' '5809911' '5816170'],18
['5816178' '5816166' '5809911' '5809912'],18
['5816178' '5816166' '5809911' '5809912' '5809910'],17
['5816178' '5816166' '5809911' '5809910'],19
['5816178' '5816166' '5816170'],24
['5816178' '5816166' '5816170' '5809912'],17
['5816178' '5816166' '5816170' '5809912' '5809910'],17
['5816178' '5816166' '5816170' '5809910'],20
['5816178' '5816166' '5809912'],21
['5816178' '5816166' '5809912' '5809910'],20
['5816178' '5816166' '5809910'],26
['5816178' '5809911'],60
['5816178' '5809911' '5816170'],32
['5816178' '5809911' '5816170' '5809912'],25
['5816178' '5809911' '5816170' '5809912' '5809910'],22
['5816178' '5809911' '5816170' '5809910'],24
['5816178' '5809911' '5809912'],41
['5816178' '5809911' '5809912' '5809910'],28
['5816178' '5809911' '5809910'],37
['5816178' '5816172'],53
['5816178' '5816172' '5816166'],20
['5816178' '5816172' '5816166' '5809911'],19
['5816178' '5816172' '5809911'],31
['5816178' '5816172' '5809911' '5816170'],19
['5816178' '5816172' '5809911' '5809912'],24
['5816178' '5816172' '5809911' '5809912' '5809910'],19
['5816178' '5816172' '5809911' '5809910'],21
['5816178' '5816172' '5816170'],27
['5816178' '5816172' '5816170' '5809912'],20
['5816178' '5816172' '5816170' '5809912' '5809910'],19
['5816178' '5816172' '5816170' '5809910'],22
['5816178' '5816172' '5809912'],35
['5816178' '5816172' '5809912' '5809910'],27
['5816178' '5816172' '5809910'],32
['5816178' '5809912'],93
['5816178' '5809912' '5809910'],60
['5816178' '5816170'],69
['5816178' '5816170' '5809912'],42
['5816178' '5816170' '5809912' '5809910'],34
['5816178' '5816170' '5809910'],43
['5816178' '5809910'],88
['5661292'],17
['5749720'],137
['5774161'],27
['5724656'],20
['5879279'],57
['5824227'],30
['5885416'],83
['5885416' '5885421'],17
['5885416' '5809912'],19
['5885416' '5809910'],32
['5726163'],35
['5760791'],76
['5760791' '5723490'],18
['5760791' '5760789'],17
['5817702'],271
['5817702' '5686925'],28
['5817702' '5700037'],18
['5817702' '5843836'],22
['5817702' '5304'],35
['5817702' '5854897'],37
['5817702' '5809910'],24
['5814516'],72
['5742957'],156
['5742957' '5615144'],21
['5742957' '5686925'],24
['5742957' '5854897'],19
['5826623'],21
['5635118'],37
['5859215'],24
['5809321'],45
['5839664'],27
['5565814'],58
['5654959'],42
['5905544'],30
['5809869'],18
['5833335'],55
['5823772'],17
['5670733'],235
['5670733' '5686925'],21
['5670733' '5700037'],25
['5670733' '5802432'],19
['5670733' '5854897'],23
['5670733' '5809910'],23
['5840036'],18
['5815579'],27
['5859197'],31
['4901'],58
['5814520'],100
['5850628'],87
['5850628' '5809912'],21
['5850628' '5809910'],33
['5816170'],490
['5816170' '5849033'],25
['5816170' '5792800'],17
['5816170' '5751422'],24
['5816170' '5700037'],19
['5816170' '5809912'],176
['5816170' '5809912' '5809910'],122
['5816170' '5809910'],251
['5834157'],22
['5622687'],182
['5622687' '5729864'],20
['5622687' '5686925'],21
['5622687' '5854897'],21
['5773204'],24
['5853709'],38
['5560976'],48
['5875419'],28
['5802433'],46
['5695527'],60
['5837290'],31
['5857018'],18
['5732020'],92
['5747146'],82
['5643942'],20
['5766979'],78
['5743913'],22
['7680'],33
['7680' '7681'],23
['5774897'],25
['5826649'],38
['5780293'],24
['5726162'],17
['5825033'],47
['5785651'],45
['5773159'],63
['5823407'],44
['5875351'],18
['5698280'],25
['5765509'],56
['5765509' '5761284'],26
['5765509' '5761285'],21
['5853238'],20
['5816176'],28
['5865726'],28
['5837924'],19
['5822293'],33
['5877789'],39
['5820748'],37
['5696191'],17
['5786550'],22
['5846402'],22
['5862628'],18
['5901852'],25
['5839689'],29
['5739124'],18
['5622680'],54
['5839641'],32
['5842140'],20
['5706782'],20
['5858501'],36
['5688130'],85
['5688130' '5686925'],24
['5746899'],22
['5835867'],33
['5696862'],33
['3978'],40
['4894'],21
['5461'],17
['5815626'],17
['5901625'],18
['5884291'],26
['5804664'],29
['5870643'],17
['5778108'],23
['5622677'],344
['5622677' '5686925'],34
['5622677' '5751422'],21
['5622677' '5843836'],24
['5622677' '5700037'],35
['5622677' '5802432'],24
['5622677' '5854897'],32
['5622677' '5304'],23
['5622677' '5815662'],17
['5622677' '5809910'],28
['5836487'],57
['5836487' '5836489'],27
['5836487' '5836489' '5836488'],19
['5836487' '5836488'],27
['5655062'],19
['5814052'],32
['5820754'],59
['5845327'],103
['5845327' '5751742'],30
['5651977'],37
['5901987'],90
['5809870'],45
['5550028'],22
['5565062'],25
['5838840'],24
['5714118'],49
['5781915'],28
['5561040'],46
['5813482'],67
['5861101'],32
['5814519'],62
['5549842'],112
['5866148'],18
['5773351'],20
['5692891'],97
['5692891' '5808501'],17
['60012'],20
['5844318'],23
['5662460'],34
['5811422'],22
['5861116'],40
['5901872'],25
['5766746'],39
['5836309'],50
['5808565'],38
['5891029'],28
['5877612'],47
['5881651'],17
['5853646'],19
['5896723'],64
['5696183'],26
['5687140'],18
['5904316'],20
['5772440'],30
['5542'],20
['5687528'],29
['5835858'],61
['5811762'],25
['5875399'],29
['5809888'],49
['5809888' '5809910'],21
['5808664'],19
['5839651'],69
['5839651' '5839650'],19
['5705001'],133
['5787010'],33
['5749198'],63
['5749198' '5743974'],22
['5749198' '5759492'],27
['5749198' '5749199'],21
['5749198' '5766980'],18
['5775987'],118
['5775987' '5807747'],23
['5860194'],39
['5831649'],102
['5831649' '5798929'],37
['5706778'],20
['5796995'],23
['5771971'],35
['5787017'],22
['5869147'],26
['5664643'],41
['5875390'],25
['5857002'],51
['5695943'],29
['5770385'],48
['5670327'],17
['5739056'],72
