items,freq
['5620922'],81
['5857360'],223
['5857360' '5013'],53
['5857360' '5686925'],17
['5857360' '5700037'],17
['5857360' '5854897'],25
['5857360' '5809912'],17
['5857360' '5809910'],20
['5883317'],17
['5827357'],38
['5827357' '5827356'],36
['5651702'],46
['5807882'],44
['5811799'],57
['5867091'],85
['5839683'],28
['5846443'],33
['5875506'],65
['5811771'],39
['5864736'],104
['5864736' '5864737'],53
['5862310'],38
['5550122'],37
['5835870'],45
['5866421'],22
['5729864'],351
['5729864' '5686925'],50
['5729864' '5700037'],28
['5729864' '5843836'],30
['5729864' '5802432'],35
['5729864' '5854897'],43
['5729864' '5687151'],17
['5729864' '5815662'],21
['5755601'],25
['5756074'],29
['5880549'],49
['5562100'],24
['5695530'],28
['5773354'],67
['5904542'],28
['5861318'],32
['5795387'],18
['5904924'],32
['5773336'],20
['5866166'],90
['5866166' '5862943'],39
['5866166' '5862936'],21
['5866166' '5862936' '5862943'],18
['5773360'],23
['5866149'],20
['5704999'],26
['5843081'],22
['5804666'],40
['5804666' '5804662'],26
['5804666' '5804662' '5804667'],19
['5804666' '5804662' '5804663'],17
['5804666' '5804667'],26
['5804666' '5804660'],23
['5804666' '5804660' '5804663'],17
['5804666' '5804660' '5804665'],17
['5804666' '5804663'],26
['5804666' '5804665'],22
['5884577'],25
['5712783'],25
['5837085'],17
['5794073'],19
['5814542'],62
['5873612'],20
['5877034'],18
['5846437'],98
['5542414'],29
['5781108'],23
['5889696'],20
['5784898'],34
['4640'],29
['5902752'],34
['5786837'],69
['5861127'],66
['5794153'],33
['5650294'],40
['5813492'],119
['5813492' '5528035'],37
['5774870'],21
['5822292'],20
['5819579'],23
['5830562'],38
['5744426'],23
['5901660'],23
['5861114'],26
['5861114' '5861104'],19
['5861114' '5861104' '5861102'],17
['5861114' '5861113'],17
['5861114' '5861102'],20
['5861114' '5861112'],19
['5861114' '5861112' '5861102'],17
['5876729'],29
['5819227'],17
['5353'],51
['5654960'],25
['5826185'],50
['5836528'],72
['5836528' '5836522'],28
['5836528' '5836527'],25
['5836528' '5836517'],20
['5568054'],19
['5877491'],28
['5908308'],19
['5651973'],18
['5837127'],21
['5829353'],103
['5829353' '5829345'],50
['5802431'],23
['5814831'],35
['5687743'],20
['5691556'],22
['5549806'],41
['5677619'],25
['4874'],17
['5659678'],17
['5899838'],19
['5823779'],18
['5693499'],20
['5745712'],61
['5772167'],94
['5772167' '5806922'],29
['5760787'],17
['5820781'],39
['5820781' '5820785'],19
['5857673'],47
['5866174'],64
['5798928'],89
['5887573'],29
['5844307'],35
['5751219'],33
['5629448'],39
['5735268'],110
['5839658'],48
['5704998'],46
['5883313'],17
['5685670'],26
['4931'],26
['5873430'],30
['5724599'],17
['5904926'],39
['5809865'],51
['5773381'],48
['5810145'],71
['5773376'],65
['5839667'],106
['5906106'],35
['5814518'],34
['5814518' '5814517'],30
['5814518' '5814517' '5814516'],29
['5814518' '5814516'],29
['5845399'],42
['6938'],144
['6938' '5686925'],21
['6938' '5854897'],36
['5767492'],40
['5767492' '5788783'],20
['5533713'],49
['5655060'],68
['5848410'],26
['5760768'],30
['5796976'],54
['5716351'],29
['5700867'],36
['5839642'],78
['5894907'],29
['5830554'],34
['5823460'],41
['5875314'],21
['5749199'],129
['5749199' '5759492'],49
['5749199' '5766980'],46
['5895619'],24
['5736283'],36
['5834460'],17
['5677450'],23
['5899849'],27
['5813819'],23
['31612'],26
['5889902'],31
['5877482'],26
['5814877'],30
['5738762'],17
['5731119'],74
['5740531'],19
['5855513'],21
['5857275'],19
['5840115'],21
['5903922'],24
['5585660'],21
['5835863'],23
['5774857'],43
['5896605'],18
['5839643'],25
['5854881'],53
['5770050'],19
['5809731'],17
['5857674'],19
['6642'],19
['5813416'],20
['5809728'],117
['5825598'],101
['5906109'],19
['5750294'],21
['5826994'],24
['5557424'],37
['5378'],24
['5813059'],28
['5875402'],23
['5814731'],18
['5807856'],20
['5813835'],19
['5875389'],22
['5666391'],21
['5896177'],124
['5896177' '5896178'],53
['5896177' '5896179'],46
['5896177' '5896179' '5896178'],18
['5896177' '5809910'],19
['5565074'],18
['5687129'],17
['5797973'],52
['5808174'],77
['5759469'],73
['5875349'],32
['5646938'],141
['5696184'],21
['5844320'],113
['5844320' '5854897'],19
['5844320' '5815662'],20
['5881433'],35
['5550700'],42
['4600'],162
['4600' '5686925'],18
['5837228'],55
['4969'],40
['5848979'],53
['5723510'],50
['5830940'],17
['5560962'],71
['5804467'],19
['5852897'],27
['5692863'],31
['5853697'],30
['5259'],36
['5861279'],80
['5773370'],35
['5677989'],43
['5790563'],212
['5839676'],41
['5825605'],21
['5830536'],24
['5760776'],24
['5807861'],27
['5662699'],44
['5837634'],26
['5831145'],31
['5859415'],57
['5690222'],26
['5734518'],30
['5813488'],37
['5561046'],18
['5799891'],85
['5911748'],20
['5776132'],55
['5677037'],18
['5809267'],79
['5809267' '5862943'],23
['5772461'],33
['5686099'],27
['5882605'],32
['5622672'],38
['5812221'],21
['5881776'],31
['5810479'],93
['5810479' '5810480'],31
['5857005'],36
['5724563'],44
['5700035'],260
['5700035' '5686925'],52
['5700035' '5843836'],25
['5700035' '5700037'],54
['5700035' '5700037' '5686925'],18
['5700035' '5802432'],24
['5700035' '5854897'],17
['5700035' '5700046'],61
['5700035' '5700046' '5700037'],27
['5700035' '5815662'],17
['5700035' '5809910'],22
['5857321'],42
['5663027'],57
['5875449'],21
['5756127'],25
['5896617'],17
['30200'],24
['5848907'],28
['5854568'],19
['5677166'],27
['5902152'],31
['5902152' '5902151'],19
['5685882'],30
['5561062'],37
['5846403'],88
['5709126'],20
['5865790'],19
['5774895'],22
['5700037'],799
['5700037' '5686925'],120
['5700037' '5686925' '5854897'],28
['5700037' '5854897'],101
['5700037' '5809912'],53
['5700037' '5809912' '5809910'],27
['5700037' '5809910'],81
['5890841'],22
['5819895'],25
['5829350'],24
['5902150'],28
['5561020'],17
['5809621'],18
