antecedent,consequent,confidence,lift,support
['5814050'],['5809910'],0.20987654320987653,3.4086518815706377,0.0005249343832020997
['5899852'],['5899929'],0.1978021978021978,84.28716020821284,0.000555812876331635
['5899852'],['5899851'],0.23076923076923078,100.9927234927235,0.0006484483557202408
['5899852'],['5899845'],0.21978021978021978,64.12236412236412,0.0006175698625907056
['5899852'],['5899831'],0.24175824175824176,108.7408424908425,0.0006793268488497761
['5743974' '5766980'],['5749199'],0.75,188.28488372093022,0.000555812876331635
['5816172' '5809911'],['5816175'],0.3114754098360656,82.68140284869659,0.0005866913694611703
['5816172' '5809911'],['5816178'],0.5081967213114754,82.28975409836066,0.0009572332870155936
['5816172' '5809911'],['5816166'],0.45901639344262296,53.280451260356074,0.0008645978076269878
['5816172' '5809911'],['5809912'],0.7540983606557377,26.203299795961442,0.0014204106839586228
['5816172' '5809911'],['5816170'],0.5737704918032787,37.921545667447305,0.0010807472595337347
['5816172' '5809911'],['5809910'],0.7213114754098361,11.714981008599569,0.0013586536976995522
['5816172' '5809911'],['5816169'],0.4098360655737705,87.89762240799045,0.000771962328238382
['5816178' '5809911' '5816170'],['5816166'],0.5625,65.29233870967742,0.000555812876331635
['5816178' '5809911' '5816170'],['5809912'],0.78125,27.146760997854077,0.000771962328238382
['5816178' '5809911' '5816170'],['5809910'],0.75,12.180917753259779,0.0007410838351088467
['5816178' '5809911' '5816170'],['5816172'],0.59375,69.92215909090909,0.0005866913694611703
['5804667' '5804665'],['5804662'],0.6511627906976745,281.17209302325585,0.0008645978076269878
['5804667' '5804665'],['5804660'],0.6046511627906976,254.3068559347629,0.0008028408213679172
['5804667' '5804665'],['5804663'],0.627906976744186,135.56511627906977,0.0008337193144974525
['5875319'],['5875321'],0.34959349593495936,95.94563869367508,0.001327775204570017
['5875319'],['5875318'],0.3089430894308943,123.52002408912979,0.0011733827389223406
['5875319'],['5875320'],0.4065040650406504,88.35324930430512,0.001543924656476764
['5875319'],['5875322'],0.2682926829268293,129.68147069530397,0.0010189902732746642
['5809913'],['5809911'],0.3559322033898305,27.842667649226236,0.0006484483557202408
